0,2042
1,2042
2,2041
3,2041
4,2041
5,2041
6,2041
7,2041
8,2041
9,2041
10,2041
11,2041
12,2041
13,2041
14,2041
15,2041
16,2041
17,2041
18,2042
19,2042
20,2042
21,2042
22,2041
23,2041
24,2041
25,2041
26,2041
27,2041
28,2041
29,2041
30,2041
31,2042
32,2042
33,2042
34,2042
35,2042
36,2042
37,2042
38,2041
39,2041
40,2041
41,2041
42,2041
43,2041
44,2041
45,2041
46,2041
47,2041
48,2041
49,2041
50,2041
51,2041
52,2041
53,2041
54,2041
55,2041
56,2042
57,2042
58,2042
59,2041
60,2041
61,2041
62,2041
63,2041
64,2041
65,2041
66,2041
67,2041
68,2041
69,2041
70,2041
71,2042
72,2042
73,2042
74,2042
75,2042
76,2041
77,2041
78,2041
79,2041
80,2041
81,2042
82,2042
83,2042
84,2042
85,2042
86,2042
87,2042
88,2042
89,2042
90,2042
91,2042
92,2042
93,2041
94,2041
95,2041
96,2041
97,2041
98,2042
99,2042
100,2042
101,2042
102,2041
103,2041
104,2041
105,2041
106,2041
107,2041
108,2041
109,2041
110,2041
111,2041
112,2041
113,2041
114,2041
115,2041
116,2041
117,2041
118,2041
119,2041
120,2041
121,2042
122,2042
123,2042
124,2042
125,2042
126,2041
127,2041
128,2041
129,2041
130,2041
131,2041
132,2041
133,2041
134,2041
135,2041
136,2041
137,2041
138,2041
139,2041
140,2041
141,2041
142,2041
143,2041
144,2041
145,2041
146,2041
147,2042
148,2042
149,2042
150,2042
151,2042
152,2041
153,2041
154,2041
155,2041
156,2041
157,2041
158,2042
159,2042
160,2042
161,2042
162,2041
163,2041
164,2041
165,2041
166,2041
167,2041
168,2041
169,2041
170,2041
171,2041
172,2041
173,2041
174,2041
175,2041
176,2041
177,2041
178,2041
179,2041
180,2041
181,2041
182,2041
183,2041
184,2041
185,2041
186,2041
187,2041
188,2041
189,2041
190,2041
191,2041
192,2041
193,2041
194,2041
195,2041
196,2041
197,2041
198,2041
199,2041
200,2041
201,2041
202,2041
203,2042
204,2042
205,2041
206,2041
207,2041
208,2041
209,2041
210,2041
211,2041
212,2041
213,2041
214,2041
215,2041
216,2041
217,2041
218,2041
219,2041
220,2041
221,2041
222,2041
223,2041
224,2041
225,2041
226,2041
227,2041
228,2041
229,2042
230,2042
231,2042
232,2042
233,2042
234,2042
235,2042
236,2042
237,2042
238,2042
239,2042
240,2042
241,2042
242,2042
243,2042
244,2042
245,2042
246,2042
247,2042
248,2042
249,2042
250,2042
251,2042
252,2042
253,2042
254,2042
255,2042
256,2042
257,2042
258,2042
259,2042
260,2042
261,2042
262,2042
263,2042
264,2042
265,2042
266,2042
267,2042
268,2042
269,2042
270,2042
271,2042
272,2042
273,2042
274,2042
275,2043
276,2043
277,2043
278,2042
279,2042
280,2042
281,2042
282,2042
283,2042
284,2042
285,2042
286,2042
287,2042
288,2042
289,2042
290,2042
291,2042
292,2042
293,2042
294,2042
295,2042
296,2042
297,2042
298,2042
299,2042
300,2042
301,2042
302,2042
303,2042
304,2042
305,2042
306,2042
307,2042
308,2042
309,2042
310,2042
311,2042
312,2042
313,2042
314,2042
315,2042
316,2042
317,2042
318,2042
319,2042
320,2042
321,2042
322,2042
323,2042
324,2042
325,2042
326,2042
327,2042
328,2042
329,2042
330,2042
331,2042
332,2042
333,2042
334,2042
335,2042
336,2042
337,2042
338,2042
339,2042
340,2042
341,2042
342,2042
343,2042
344,2042
345,2042
346,2042
347,2042
348,2042
349,2042
350,2042
351,2042
352,2042
353,2042
354,2042
355,2042
356,2042
357,2042
358,2042
359,2042
360,2042
361,2042
362,2042
363,2042
364,2042
365,2042
366,2041
367,2041
368,2041
369,2041
370,2042
371,2042
372,2042
373,2042
374,2042
375,2041
376,2041
377,2041
378,2041
379,2042
380,2042
381,2042
382,2042
383,2042
384,2042
385,2042
386,2042
387,2042
388,2042
389,2042
390,2042
391,2042
392,2042
393,2042
394,2042
395,2042
396,2042
397,2042
398,2042
399,2042
400,2042
401,2042
402,2042
403,2042
404,2041
405,2041
406,2041
407,2041
408,2042
409,2042
410,2042
411,2042
412,2042
413,2041
414,2041
415,2041
416,2041
417,2041
418,2041
419,2041
420,2041
421,2041
422,2041
423,2042
424,2042
425,2042
426,2042
427,2042
428,2042
429,2042
430,2042
431,2042
432,2041
433,2041
434,2042
435,2042
436,2042
437,2042
438,2042
439,2042
440,2041
441,2041
442,2041
443,2041
444,2042
445,2042
446,2042
447,2042
448,2042
449,2042
450,2042
451,2042
452,2042
453,2042
454,2042
455,2042
456,2042
457,2041
458,2041
459,2041
460,2041
461,2042
462,2042
463,2042
464,2042
465,2042
466,2041
467,2041
468,2041
469,2042
470,2042
471,2042
472,2042
473,2042
474,2042
475,2042
476,2042
477,2042
478,2041
479,2041
480,2041
481,2041
482,2042
483,2042
484,2042
485,2042
486,2042
487,2041
488,2041
489,2041
490,2041
491,2042
492,2042
493,2042
494,2042
495,2042
496,2042
497,2042
498,2042
499,2043
500,2043
501,2043
502,2044
503,2044
504,2044
505,2045
506,2045
507,2046
508,2046
509,2046
510,2046
511,2047
512,2047
513,2047
514,2048
515,2048
516,2048
517,2049
518,2049
519,2049
520,2049
521,2050
522,2050
523,2050
524,2049
525,2049
526,2049
527,2049
528,2049
529,2049
530,2049
531,2049
532,2049
533,2048
534,2048
535,2048
536,2047
537,2047
538,2047
539,2046
540,2046
541,2046
542,2046
543,2046
544,2046
545,2047
546,2047
547,2047
548,2048
549,2048
550,2048
551,2049
552,2049
553,2049
554,2049
555,2049
556,2049
557,2049
558,2049
559,2049
560,2049
561,2049
562,2049
563,2049
564,2049
565,2049
566,2049
567,2049
568,2049
569,2049
570,2049
571,2049
572,2049
573,2049
574,2049
575,2048
576,2048
577,2048
578,2048
579,2048
580,2048
581,2048
582,2048
583,2048
584,2048
585,2048
586,2048
587,2048
588,2047
589,2047
590,2047
591,2047
592,2046
593,2046
594,2046
595,2046
596,2047
597,2047
598,2047
599,2047
600,2047
601,2047
602,2048
603,2048
604,2048
605,2048
606,2048
607,2048
608,2048
609,2049
610,2049
611,2049
612,2049
613,2049
614,2049
615,2049
616,2049
617,2049
618,2049
619,2049
620,2049
621,2049
622,2049
623,2049
624,2049
625,2049
626,2049
627,2049
628,2049
629,2049
630,2049
631,2050
632,2050
633,2050
634,2050
635,2050
636,2050
637,2050
638,2050
639,2050
640,2050
641,2050
642,2049
643,2049
644,2049
645,2049
646,2050
647,2050
648,2050
649,2050
650,2049
651,2049
652,2049
653,2049
654,2049
655,2049
656,2050
657,2050
658,2050
659,2050
660,2050
661,2050
662,2050
663,2050
664,2050
665,2050
666,2050
667,2050
668,2050
669,2050
670,2051
671,2051
672,2051
673,2051
674,2051
675,2050
676,2050
677,2050
678,2050
679,2050
680,2050
681,2050
682,2050
683,2049
684,2049
685,2049
686,2049
687,2049
688,2049
689,2049
690,2050
691,2050
692,2050
693,2050
694,2050
695,2050
696,2050
697,2050
698,2050
699,2050
700,2049
701,2049
702,2049
703,2049
704,2049
705,2049
706,2049
707,2049
708,2049
709,2049
710,2050
711,2050
712,2050
713,2050
714,2049
715,2049
716,2049
717,2049
718,2049
719,2049
720,2049
721,2049
722,2049
723,2049
724,2049
725,2049
726,2049
727,2049
728,2049
729,2049
730,2048
731,2048
732,2048
733,2048
734,2049
735,2049
736,2049
737,2049
738,2048
739,2048
740,2048
741,2048
742,2048
743,2048
744,2048
745,2048
746,2048
747,2048
748,2047
749,2047
750,2047
751,2046
752,2046
753,2046
754,2046
755,2045
756,2045
757,2045
758,2045
759,2045
760,2045
761,2045
762,2045
763,2044
764,2044
765,2044
766,2044
767,2044
768,2044
769,2043
770,2043
771,2043
772,2043
773,2043
774,2043
775,2043
776,2043
777,2043
778,2043
779,2043
780,2043
781,2042
782,2042
783,2043
784,2043
785,2043
786,2043
787,2043
788,2043
789,2043
790,2043
791,2044
792,2044
793,2044
794,2044
795,2044
796,2044
797,2045
798,2045
799,2046
800,2046
801,2046
802,2047
803,2047
804,2047
805,2048
806,2048
807,2048
808,2049
809,2049
810,2049
811,2049
812,2049
813,2049
814,2049
815,2050
816,2050
817,2050
818,2050
819,2050
820,2050
821,2050
822,2050
823,2050
824,2050
825,2049
826,2049
827,2049
828,2049
829,2049
830,2049
831,2048
832,2048
833,2048
834,2048
835,2048
836,2047
837,2047
838,2047
839,2047
840,2047
841,2047
842,2047
843,2048
844,2048
845,2048
846,2048
847,2048
848,2048
849,2048
850,2048
851,2049
852,2049
853,2049
854,2049
855,2049
856,2049
857,2049
858,2048
859,2048
860,2048
861,2048
862,2048
863,2048
864,2048
865,2048
866,2048
867,2048
868,2048
869,2048
870,2047
871,2047
872,2047
873,2047
874,2047
875,2047
876,2046
877,2046
878,2046
879,2046
880,2046
881,2046
882,2046
883,2046
884,2046
885,2046
886,2045
887,2045
888,2045
889,2045
890,2045
891,2046
892,2046
893,2046
894,2046
895,2047
896,2047
897,2047
898,2047
899,2048
900,2048
901,2048
902,2048
903,2049
904,2049
905,2049
906,2049
907,2050
908,2050
909,2050
910,2050
